sentence_id,word_id,word,nFix,FFD,GPT,TRT,fixProp,dataset_source,stage,original_sentence_id,task,source_sentence_id
0,2,are,19.416189248634037,2.9471965167738987,3.84005859935879,6.20729612534292,73.30718348197631,provo,pretrain,0,,
0,3,now,16.441782818125343,2.954056387660812,4.427679746323156,4.9934395570305385,73.30718348197631,provo,pretrain,0,,
0,4,rumblings,34.7839558062623,4.113374567549145,13.823616396159126,11.260179775711045,94.70609392328808,provo,pretrain,0,,
0,5,that,15.69818121049817,3.072634155848883,5.387952001343846,5.5026939463086215,64.7476193054516,provo,pretrain,0,,
0,6,Apple,17.43325162829491,3.847472905551652,5.923740270906528,5.527165159712207,86.14652974676336,provo,pretrain,0,,
0,7,might,20.407658058803605,4.710836655747444,9.191939593391718,7.564604634297018,91.85290586444653,provo,pretrain,0,,
0,8,soon,15.450314007955775,3.9033318542022313,4.681388040973509,5.056727177901882,84.71993571734258,provo,pretrain,0,,
0,9,invade,22.886330084227517,4.813734719051142,8.106722823371175,7.959941306006679,97.55928198212963,provo,pretrain,0,,
0,10,the,3.5526882859209934,1.2645681863696143,-0.4964436068369187,1.1999795620021656,29.082768569931964,provo,pretrain,0,,
0,11,smart,25.612869312193823,4.889519959325613,9.692808871862738,10.178383376283534,87.57312377618416,provo,pretrain,0,,
0,12,watch,27.10007252744817,4.950932136789406,12.822969057688702,11.177062033633344,87.57312377618416,provo,pretrain,0,,
0,13,"space,",22.638462881685125,5.141375219030855,14.493078928494576,8.94427476929232,94.70609392328808,provo,pretrain,0,,
0,14,though,20.655525261345993,4.584745695635611,9.351257490247423,8.419409433532639,83.29334168792181,provo,pretrain,0,,
0,15,the,5.783493108802517,1.679427044768652,1.8856863166973632,1.7256887327067982,40.49552080529824,provo,pretrain,0,,
0,16,company,20.903392463888384,4.367189790364934,8.627234034331256,6.893333935588292,96.13268795270886,provo,pretrain,0,,
0,17,is,6.527094716429691,1.0979713219731506,-0.5881059584525294,0.9797386413698872,41.92211483471903,provo,pretrain,0,,
0,18,maintaining,33.544619793550346,4.0637221687486305,16.60294984336106,10.20369842463207,106.11884615865436,provo,pretrain,0,,
0,19,its,9.005766741853606,1.793431565698781,2.4302043340329584,2.4454799407502197,46.20189692298139,provo,pretrain,0,,
